periodname,city,age,career,surveyed,tested positive,tested negative,treatment eligible,treatment
21-Mar,Tokyo,15-19yrs,surgeon,13,9,8,1,1
20-Dec,Chicago,20-24yrs,surgeon,11,7,9,2,1
21-Mar,Boston,25-29yrs,surgeon,14,10,15,2,1
21-Feb,Chicago,35-39yrs,astronaut,12,8,5,1,1
21-Jun,Tokyo,40-44yrs,astronaut,15,11,13,2,1
20-Oct,Philadelphia,40-44yrs,astronaut,10,6,9,1,1
21-Sep,Boston,20-24yrs,astronaut,12,8,8,2,1
21-Apr,Boston,35-39yrs,surgeon,15,11,8,2,1
21-Feb,Boston,35-39yrs,astronaut,12,8,12,1,1
20-Nov,New York,35-39yrs,astronaut,11,7,12,2,1
21-Jan,London,20-24yrs,astronaut,14,10,11,1,1
21-Feb,Philadelphia,25-29yrs,farmer,10,6,13,1,1
21-Jan,Philadelphia,30-34yrs,farmer,16,12,8,1,1
20-Nov,Chicago,30-34yrs,astronaut,20,16,10,1,1
20-Nov,Washington D.C.,30-34yrs,astronaut,17,13,12,2,1
21-Mar,Boston,35-39yrs,astronaut,16,12,5,1,1
21-Apr,New York,25-29yrs,surgeon,11,7,5,1,1
21-Mar,Boston,20-24yrs,surgeon,13,9,6,3,1
21-Jul,Boston,30-34yrs,surgeon,20,16,13,1,1
21-Feb,Tokyo,30-34yrs,farmer,16,12,9,1,1
20-Dec,Tokyo,30-34yrs,surgeon,15,11,8,1,1
20-Dec,Boston,40-44yrs,surgeon,19,15,11,1,1
21-Aug,New York,20-24yrs,surgeon,19,15,13,1,1
21-Jun,Chicago,25-29yrs,astronaut,10,6,11,1,1
21-Apr,New York,35-39yrs,astronaut,19,15,14,1,1
21-Mar,Chicago,35-39yrs,astronaut,11,7,6,1,1
21-May,Boston,30-34yrs,astronaut,18,14,13,1,1
20-Nov,New York,30-34yrs,astronaut,16,12,8,1,1
20-Dec,Boston,35-39yrs,astronaut,18,14,9,1,1
20-Nov,Tokyo,35-39yrs,surgeon,20,16,15,1,1
21-Mar,Boston,15-19yrs,astronaut,17,13,13,1,1
20-Nov,Philadelphia,15-19yrs,astronaut,17,13,6,4,1
21-Jul,Tokyo,20-24yrs,surgeon,18,14,13,1,1
21-Mar,Boston,20-24yrs,epidemiologist,17,13,7,2,1
21-Feb,Tokyo,25-29yrs,farmer,12,8,11,2,1
21-May,Tokyo,30-34yrs,surgeon,10,6,15,1,1
20-Nov,London,35-39yrs,epidemiologist,16,12,14,1,1
20-Nov,London,40-44yrs,astronaut,18,14,10,3,1
21-Jan,Boston,50+yrs,surgeon,17,13,14,1,1
21-Jul,New York,20-24yrs,surgeon,11,7,13,2,1
21-May,Tokyo,35-39yrs,surgeon,10,6,7,2,1
21-Aug,New York,25-29yrs,farmer,20,16,7,2,1
21-Jul,Philadelphia,20-24yrs,surgeon,16,12,8,1,1
21-Jul,Philadelphia,30-34yrs,surgeon,18,14,6,1,1
20-Dec,Philadelphia,30-34yrs,astronaut,19,15,11,1,1
21-Apr,Tokyo,35-39yrs,surgeon,11,7,8,2,1
21-Mar,Boston,35-39yrs,surgeon,19,15,12,4,1
21-Jun,Tokyo,40-44yrs,surgeon,17,13,11,2,1
21-Jul,Tokyo,45-49yrs,astronaut,17,13,14,3,1
21-Apr,Tokyo,40-44yrs,astronaut,19,15,14,1,1
20-Nov,Washington D.C.,20-24yrs,astronaut,11,7,13,3,1
21-Aug,Boston,25-29yrs,astronaut,16,12,7,2,1
21-Jul,Boston,25-29yrs,astronaut,10,6,7,1,1
20-Nov,Boston,45-49yrs,surgeon,12,8,6,4,1
21-Apr,New York,15-19yrs,surgeon,10,6,12,1,1
21-Mar,Chicago,15-19yrs,surgeon,11,7,9,3,1
21-Jan,London,15-19yrs,astronaut,16,12,15,1,1
21-Aug,Chicago,20-24yrs,astronaut,10,6,12,2,1
20-Dec,Tokyo,20-24yrs,surgeon,13,9,6,1,1
20-Oct,Chicago,25-29yrs,epidemiologist,15,11,13,2,1
21-Jan,Baltimore,30-34yrs,astronaut,14,10,12,1,1
21-Aug,New York,35-39yrs,farmer,10,6,12,2,1
21-Jun,Chicago,35-39yrs,epidemiologist,16,12,10,3,1
21-Jun,Philadelphia,35-39yrs,surgeon,19,15,7,1,1
21-May,Boston,35-39yrs,surgeon,12,8,6,1,1
21-Mar,Boston,40-44yrs,surgeon,18,14,9,3,1
20-Dec,Chicago,40-44yrs,epidemiologist,16,12,7,3,1
21-Mar,Boston,25-29yrs,epidemiologist,13,9,11,2,1
20-Dec,Washington D.C.,30-34yrs,astronaut,13,9,11,1,1
21-Jun,Philadelphia,35-39yrs,astronaut,10,6,10,2,1
21-Apr,Boston,45-49yrs,surgeon,17,13,8,2,1
21-Feb,Philadelphia,15-19yrs,astronaut,14,10,9,2,1
21-Mar,Philadelphia,20-24yrs,surgeon,19,15,6,2,1
21-Feb,Boston,20-24yrs,epidemiologist,18,14,8,2,1
21-Feb,Chicago,20-24yrs,astronaut,11,7,8,2,1
20-Nov,Boston,20-24yrs,epidemiologist,19,15,6,3,1
20-Nov,London,20-24yrs,surgeon,18,14,15,2,1
21-Sep,New York,25-29yrs,surgeon,18,14,11,2,1
21-Apr,Philadelphia,30-34yrs,surgeon,17,13,7,1,1
21-Feb,New York,30-34yrs,astronaut,13,9,8,4,1
21-Jul,Boston,35-39yrs,astronaut,17,13,5,1,1
20-Dec,New York,35-39yrs,astronaut,10,6,12,2,1
20-Dec,Tokyo,35-39yrs,surgeon,18,14,7,2,1
21-Jan,Boston,40-44yrs,astronaut,13,9,8,1,1
21-Jan,Philadelphia,40-44yrs,astronaut,15,11,14,2,1
21-May,Tokyo,45-49yrs,surgeon,10,6,9,2,1
21-Apr,Boston,50+yrs,surgeon,13,9,15,1,1
21-Mar,Boston,50+yrs,surgeon,14,10,8,1,1
21-Apr,Philadelphia,40-44yrs,surgeon,16,12,5,2,1
21-May,Boston,40-44yrs,surgeon,13,9,9,1,1
21-Apr,Philadelphia,40-44yrs,astronaut,20,16,6,2,1
21-May,Boston,15-19yrs,surgeon,14,10,9,1,1
21-May,Boston,15-19yrs,astronaut,17,13,12,1,1
21-Jan,Philadelphia,15-19yrs,farmer,11,7,6,1,1
20-Oct,Philadelphia,15-19yrs,farmer,10,6,9,2,1
21-Apr,Tokyo,20-24yrs,epidemiologist,12,8,15,3,1
21-Jan,Philadelphia,25-29yrs,farmer,13,9,11,1,1
21-Aug,New York,30-34yrs,epidemiologist,14,10,5,2,1
20-Nov,Tokyo,30-34yrs,farmer,14,10,10,3,1
21-Aug,Boston,35-39yrs,astronaut,18,14,13,1,1
21-Jul,Tokyo,35-39yrs,surgeon,17,13,14,2,1
21-May,Boston,35-39yrs,astronaut,20,16,9,1,1
21-Feb,Chicago,35-39yrs,surgeon,16,12,9,1,1
21-Jan,New York,35-39yrs,astronaut,15,11,5,1,1
21-Jan,New York,40-44yrs,astronaut,14,10,15,1,1
21-Jul,Tokyo,45-49yrs,surgeon,10,6,15,2,1
21-Apr,Tokyo,45-49yrs,surgeon,10,6,11,1,1
21-Mar,Tokyo,45-49yrs,astronaut,15,11,11,3,1
21-Jun,Philadelphia,25-29yrs,astronaut,20,16,7,3,1
21-Feb,Boston,45-49yrs,astronaut,11,7,10,1,1
21-Apr,London,25-29yrs,astronaut,19,15,6,1,1
21-Feb,Boston,35-39yrs,surgeon,28,24,14,3,1
21-Apr,Boston,40-44yrs,surgeon,24,20,6,1,1
21-Apr,London,45-49yrs,astronaut,12,8,9,3,1
21-Jun,New York,15-19yrs,astronaut,26,22,14,1,1
21-May,Chicago,15-19yrs,surgeon,21,17,11,2,1
21-Apr,London,15-19yrs,epidemiologist,21,17,8,3,1
21-Apr,Philadelphia,15-19yrs,astronaut,30,26,12,1,1
21-Mar,London,15-19yrs,astronaut,27,23,15,2,1
20-Dec,New York,15-19yrs,farmer,21,17,9,3,1
20-Nov,London,15-19yrs,surgeon,24,20,12,1,1
20-Nov,London,15-19yrs,epidemiologist,22,18,15,2,1
20-Nov,Tokyo,15-19yrs,surgeon,17,13,11,3,1
20-Nov,Tokyo,15-19yrs,farmer,28,24,15,1,1
20-Oct,Tokyo,15-19yrs,farmer,24,20,12,2,1
21-Sep,Washington D.C.,20-24yrs,astronaut,19,15,10,3,1
21-Aug,Washington D.C.,20-24yrs,astronaut,14,10,9,1,1
21-Jul,Boston,20-24yrs,astronaut,16,12,8,2,1
21-Jul,Washington D.C.,20-24yrs,astronaut,18,14,7,3,1
21-Jun,New York,20-24yrs,astronaut,29,25,15,1,1
21-May,Chicago,20-24yrs,surgeon,19,15,11,2,1
21-May,London,20-24yrs,astronaut,13,9,15,3,1
21-May,Philadelphia,20-24yrs,surgeon,19,15,12,1,1
21-May,Philadelphia,20-24yrs,farmer,12,8,11,2,1
21-Apr,Washington D.C.,20-24yrs,surgeon,25,21,8,3,1
21-Apr,Washington D.C.,20-24yrs,astronaut,15,11,5,1,1
20-Oct,Boston,20-24yrs,surgeon,27,23,13,2,1
21-Sep,Chicago,25-29yrs,astronaut,20,16,6,3,1
21-Aug,New York,25-29yrs,epidemiologist,13,9,15,1,1
21-Jul,Washington D.C.,25-29yrs,surgeon,20,16,6,2,1
21-Jun,London,25-29yrs,astronaut,14,10,11,3,1
21-Jun,New York,25-29yrs,surgeon,16,12,13,1,1
21-May,Chicago,25-29yrs,surgeon,24,20,10,2,1
21-May,Washington D.C.,25-29yrs,astronaut,28,24,14,3,1
21-Apr,Chicago,25-29yrs,epidemiologist,26,22,6,1,1
21-Apr,Washington D.C.,25-29yrs,surgeon,19,15,14,2,1
21-Apr,Washington D.C.,25-29yrs,astronaut,15,11,8,3,1
21-Mar,Washington D.C.,25-29yrs,astronaut,15,11,7,1,1
21-Feb,Washington D.C.,25-29yrs,surgeon,28,24,15,2,1
21-Feb,Washington D.C.,25-29yrs,astronaut,15,11,7,3,1
21-Jan,London,25-29yrs,surgeon,27,23,10,1,1
21-Jan,Washington D.C.,25-29yrs,surgeon,25,21,15,2,1
20-Dec,Boston,25-29yrs,farmer,15,11,12,3,1
20-Dec,Tokyo,25-29yrs,epidemiologist,20,16,14,1,1
20-Dec,Washington D.C.,25-29yrs,surgeon,13,9,9,1,1
20-Nov,Washington D.C.,25-29yrs,surgeon,19,15,12,2,1
21-Sep,Washington D.C.,30-34yrs,surgeon,16,12,13,3,1
21-Jul,New York,30-34yrs,surgeon,16,12,15,1,1
21-Jul,New York,30-34yrs,farmer,25,21,8,2,1
21-Jul,Washington D.C.,30-34yrs,surgeon,13,9,15,3,1
21-Jun,London,30-34yrs,surgeon,26,22,11,1,1
21-Jun,New York,30-34yrs,astronaut,29,25,5,2,1
21-May,Chicago,30-34yrs,surgeon,26,22,13,3,1
21-May,Chicago,30-34yrs,astronaut,22,18,14,1,1
21-Apr,Chicago,30-34yrs,surgeon,21,17,14,1,1
21-Apr,Chicago,30-34yrs,astronaut,17,13,11,2,1
21-Apr,London,30-34yrs,surgeon,23,19,7,3,1
21-Mar,Boston,30-34yrs,epidemiologist,13,9,15,1,1
21-Mar,London,30-34yrs,astronaut,16,12,5,2,1
21-Feb,Washington D.C.,30-34yrs,pilot,17,13,10,3,1
20-Dec,Boston,30-34yrs,epidemiologist,23,19,14,1,1
20-Dec,New York,30-34yrs,epidemiologist,18,14,11,2,1
20-Oct,Boston,30-34yrs,surgeon,28,24,9,3,1
20-Oct,Philadelphia,30-34yrs,surgeon,21,17,14,1,1
20-Oct,Tokyo,30-34yrs,farmer,28,24,7,2,1
20-Oct,Washington D.C.,30-34yrs,astronaut,15,11,7,3,1
21-Jun,Washington D.C.,35-39yrs,surgeon,18,14,14,1,1
21-May,Baltimore,35-39yrs,surgeon,12,8,8,1,1
21-May,Washington D.C.,35-39yrs,surgeon,25,21,8,2,1
21-Mar,London,35-39yrs,astronaut,13,9,14,3,1
21-Mar,Philadelphia,35-39yrs,farmer,13,9,14,1,1
21-Feb,London,35-39yrs,astronaut,20,16,6,2,1
20-Oct,Philadelphia,35-39yrs,surgeon,19,15,6,3,1
21-Aug,New York,40-44yrs,astronaut,30,26,11,1,1
21-Jul,Philadelphia,40-44yrs,surgeon,21,17,5,2,1
21-Mar,Boston,40-44yrs,epidemiologist,19,15,9,3,1
21-Jan,Chicago,40-44yrs,surgeon,15,11,13,1,1
20-Nov,London,40-44yrs,surgeon,30,26,11,2,1
20-Oct,Tokyo,40-44yrs,astronaut,14,10,7,3,1
21-Jun,Tokyo,45-49yrs,surgeon,16,12,11,1,1
21-May,Chicago,45-49yrs,surgeon,29,25,14,2,1
21-Apr,Chicago,45-49yrs,astronaut,25,21,7,3,1
21-Apr,Philadelphia,45-49yrs,surgeon,29,25,13,1,1
20-Dec,Chicago,45-49yrs,surgeon,22,18,12,2,1
20-Nov,Philadelphia,45-49yrs,farmer,15,11,5,3,1
21-Aug,Tokyo,50+yrs,astronaut,23,19,7,1,1
21-Apr,Tokyo,50+yrs,astronaut,13,9,6,2,1
21-Feb,London,50+yrs,astronaut,21,17,11,1,1
20-Oct,Boston,50+yrs,surgeon,22,18,9,3,1
21-Feb,Tokyo,25-29yrs,astronaut,25,21,14,2,2
20-Nov,Tokyo,25-29yrs,astronaut,19,15,8,1,2
20-Dec,Tokyo,35-39yrs,astronaut,16,12,15,2,2
20-Oct,Baltimore,20-24yrs,astronaut,19,15,12,3,2
21-Mar,Tokyo,35-39yrs,astronaut,14,10,12,3,2
20-Nov,Tokyo,30-34yrs,astronaut,29,25,5,1,2
21-Aug,Tokyo,30-34yrs,astronaut,30,26,11,5,2
20-Dec,Chicago,20-24yrs,astronaut,14,10,8,2,2
20-Nov,Chicago,25-29yrs,astronaut,21,17,10,1,2
20-Oct,New York,25-29yrs,astronaut,13,9,6,3,2
20-Nov,Boston,20-24yrs,surgeon,30,26,15,2,2
21-Mar,Tokyo,35-39yrs,surgeon,15,11,10,3,2
21-Feb,Boston,30-34yrs,astronaut,18,14,8,1,2
21-Feb,Philadelphia,20-24yrs,astronaut,20,16,10,2,2
21-Jun,Philadelphia,20-24yrs,surgeon,25,21,12,9,2
20-Dec,Boston,30-34yrs,astronaut,14,10,6,3,2
21-Aug,Baltimore,15-19yrs,astronaut,30,26,9,2,2
21-Jul,Philadelphia,25-29yrs,surgeon,19,15,15,2,2
21-Jan,Baltimore,15-19yrs,astronaut,20,16,9,2,2
20-Dec,Tokyo,15-19yrs,astronaut,26,22,6,2,2
20-Nov,New York,25-29yrs,astronaut,19,15,11,2,2
21-Apr,New York,20-24yrs,astronaut,30,26,15,2,2
20-Oct,New York,20-24yrs,astronaut,20,16,15,3,2
21-Jun,Tokyo,35-39yrs,astronaut,15,11,7,3,2
21-Mar,New York,25-29yrs,astronaut,22,18,11,2,2
20-Dec,Chicago,25-29yrs,astronaut,12,8,6,2,2
21-May,Boston,25-29yrs,astronaut,23,19,8,3,2
21-Mar,New York,20-24yrs,astronaut,23,19,13,2,2
20-Nov,Philadelphia,40-44yrs,astronaut,21,17,9,2,2
20-Nov,Chicago,30-34yrs,surgeon,27,23,5,1,2
21-Jan,Baltimore,20-24yrs,astronaut,22,18,11,2,2
20-Nov,London,20-24yrs,epidemiologist,13,9,14,3,2
21-Feb,Boston,25-29yrs,surgeon,25,21,15,1,2
20-Dec,Baltimore,25-29yrs,astronaut,23,19,15,1,2
21-Jan,Washington D.C.,30-34yrs,astronaut,16,12,8,2,2
20-Nov,Tokyo,30-34yrs,surgeon,16,12,14,1,2
21-May,Tokyo,30-34yrs,astronaut,22,18,14,2,2
21-Jan,Tokyo,20-24yrs,surgeon,25,21,11,2,2
21-Jan,Chicago,25-29yrs,epidemiologist,27,23,5,2,2
21-Mar,Tokyo,20-24yrs,epidemiologist,13,9,7,2,2
20-Dec,Baltimore,30-34yrs,astronaut,19,15,7,1,2
21-Jul,Boston,25-29yrs,surgeon,13,9,13,3,2
20-Nov,Baltimore,30-34yrs,astronaut,16,12,15,3,2
20-Oct,New York,40-44yrs,astronaut,17,13,15,,2
21-Apr,Boston,15-19yrs,astronaut,22,18,12,2,2
21-Mar,New York,30-34yrs,astronaut,23,19,13,2,2
21-Aug,Tokyo,40-44yrs,astronaut,17,13,11,1,2
21-Jun,Tokyo,20-24yrs,surgeon,21,17,11,2,2
21-Jul,New York,25-29yrs,surgeon,26,22,7,1,2
21-Sep,Tokyo,30-34yrs,astronaut,20,16,13,2,2
21-Jan,Boston,25-29yrs,astronaut,23,19,7,1,2
20-Oct,New York,35-39yrs,astronaut,22,18,12,2,2
21-Jan,Boston,15-19yrs,astronaut,24,20,15,2,2
21-Jan,London,30-34yrs,astronaut,15,11,8,1,2
21-Jan,Boston,45-49yrs,astronaut,21,17,9,1,2
21-Sep,Tokyo,15-19yrs,astronaut,19,15,13,2,2
21-Aug,Tokyo,20-24yrs,surgeon,18,14,15,1,2
21-Feb,Boston,25-29yrs,epidemiologist,27,23,11,1,2
21-Feb,Philadelphia,25-29yrs,surgeon,16,12,12,2,2
20-Dec,London,25-29yrs,epidemiologist,22,18,9,2,2
21-Jan,London,35-39yrs,astronaut,18,14,15,3,2
20-Nov,London,35-39yrs,surgeon,28,24,15,2,2
21-Mar,Tokyo,40-44yrs,epidemiologist,14,10,7,2,2
20-Dec,Tokyo,40-44yrs,surgeon,16,12,12,1,2
21-Aug,Boston,30-34yrs,astronaut,16,12,6,1,2
21-Jul,Philadelphia,45-49yrs,astronaut,17,13,7,1,2
21-Apr,Washington D.C.,30-34yrs,surgeon,24,20,15,4,2
21-Feb,Boston,15-19yrs,surgeon,25,21,7,1,2
21-Jun,London,20-24yrs,astronaut,26,22,10,2,2
21-May,Chicago,20-24yrs,astronaut,27,23,6,3,2
21-May,London,20-24yrs,surgeon,28,24,12,1,2
21-Apr,Chicago,20-24yrs,epidemiologist,29,25,10,2,2
21-Feb,Washington D.C.,20-24yrs,astronaut,30,26,6,3,2
20-Oct,Tokyo,20-24yrs,farmer,31,27,8,1,2
21-Aug,New York,25-29yrs,surgeon,32,28,7,2,2
21-Aug,Washington D.C.,25-29yrs,astronaut,33,29,6,3,2
21-Jul,New York,25-29yrs,farmer,34,30,9,1,2
21-May,Washington D.C.,25-29yrs,surgeon,35,31,15,2,2
21-Mar,Washington D.C.,25-29yrs,surgeon,36,32,11,3,2
21-Aug,Washington D.C.,30-34yrs,surgeon,37,33,5,1,2
21-May,Washington D.C.,30-34yrs,surgeon,38,34,8,1,2
21-Mar,Washington D.C.,30-34yrs,surgeon,39,35,11,2,2
20-Dec,New York,30-34yrs,farmer,40,36,6,3,2
20-Oct,Boston,30-34yrs,astronaut,41,37,5,1,2
20-Oct,Tokyo,30-34yrs,surgeon,42,38,15,2,2
20-Oct,Washington D.C.,30-34yrs,surgeon,43,39,7,3,2
20-Dec,London,35-39yrs,epidemiologist,44,40,11,1,2
20-Oct,Boston,45-49yrs,surgeon,45,41,5,2,2
20-Dec,Tokyo,30-34yrs,astronaut,48,44,15,3,3
21-Feb,Tokyo,30-34yrs,surgeon,48,44,13,1,3
20-Dec,Tokyo,40-44yrs,astronaut,32,28,9,2,3
20-Dec,Tokyo,20-24yrs,astronaut,27,23,14,3,3
20-Nov,Chicago,20-24yrs,astronaut,26,22,11,1,3
20-Nov,Chicago,20-24yrs,surgeon,24,20,14,2,3
20-Oct,Chicago,25-29yrs,surgeon,24,20,12,3,3
21-Feb,Boston,25-29yrs,astronaut,23,19,15,1,3
21-Feb,Tokyo,35-39yrs,surgeon,22,18,15,2,3
20-Oct,Chicago,30-34yrs,surgeon,21,17,15,3,3
21-Aug,Tokyo,20-24yrs,astronaut,20,16,15,1,3
21-Jun,Tokyo,30-34yrs,astronaut,19,15,8,1,3
20-Nov,Boston,30-34yrs,surgeon,19,15,14,5,3
21-May,Tokyo,20-24yrs,surgeon,18,14,10,3,3
21-Jan,Philadelphia,15-19yrs,astronaut,16,12,5,4,3
21-Apr,Tokyo,30-34yrs,surgeon,15,11,9,2,3
21-Mar,Chicago,25-29yrs,surgeon,15,11,7,2,3
21-Jan,Chicago,20-24yrs,astronaut,13,9,8,6,3
21-May,Boston,20-24yrs,astronaut,10,6,7,3,3
20-Nov,Tokyo,40-44yrs,astronaut,10,6,6,3,3
21-Apr,Tokyo,25-29yrs,surgeon,9,5,6,4,3
21-Jan,Tokyo,25-29yrs,surgeon,9,5,14,3,3
21-Jan,Philadelphia,35-39yrs,astronaut,8,4,15,4,3
20-Nov,Boston,35-39yrs,surgeon,8,4,5,4,3
21-Apr,Boston,20-24yrs,surgeon,8,4,9,1,3
21-Apr,Boston,30-34yrs,surgeon,8,4,8,3,3
20-Dec,Boston,35-39yrs,surgeon,8,4,10,4,3
21-Apr,New York,30-34yrs,astronaut,7,3,6,2,3
21-Jan,Boston,45-49yrs,surgeon,7,3,8,4,3
21-Mar,Boston,30-34yrs,astronaut,7,3,6,3,3
20-Dec,Chicago,30-34yrs,surgeon,7,3,5,1,3
21-Apr,Philadelphia,20-24yrs,surgeon,7,3,10,2,3
21-May,Tokyo,15-19yrs,astronaut,7,3,15,3,3
21-Jan,Washington D.C.,20-24yrs,astronaut,7,3,7,4,3
20-Dec,Tokyo,25-29yrs,surgeon,7,3,15,2,3
21-Apr,Tokyo,35-39yrs,astronaut,6,4,7,4,3
20-Dec,London,25-29yrs,astronaut,6,4,5,4,3
21-Jan,Boston,30-34yrs,astronaut,6,2,5,5,3
20-Nov,Boston,40-44yrs,surgeon,5,1,4,1,3
21-Jan,Boston,40-44yrs,surgeon,5,1,2,3,3
21-Jun,Boston,15-19yrs,astronaut,12,8,4,3,3
21-Jan,Boston,15-19yrs,surgeon,12,8,3,3,3
20-Dec,Boston,15-19yrs,astronaut,12,8,4,3,3
20-Nov,London,30-34yrs,surgeon,12,8,5,5,3
20-Dec,New York,20-24yrs,astronaut,12,8,0,4,3
20-Nov,New York,20-24yrs,astronaut,4,0,2,2,3
20-Nov,London,25-29yrs,surgeon,4,0,3,3,3
21-Jun,Tokyo,35-39yrs,surgeon,4,0,2,2,3
21-May,Tokyo,35-39yrs,astronaut,9,5,4,5,3
21-Jul,Tokyo,25-29yrs,surgeon,15,11,3,4,3
21-Jun,Philadelphia,25-29yrs,surgeon,13,9,3,3,3
21-Jul,Tokyo,30-34yrs,surgeon,17,13,2,3,3
21-Aug,Philadelphia,15-19yrs,surgeon,12,8,3,4,3
20-Nov,Washington D.C.,25-29yrs,astronaut,20,16,7,3,3
20-Oct,New York,30-34yrs,astronaut,5,1,2,3,3
21-Jun,New York,20-24yrs,surgeon,10,6,4,5,3
21-Apr,Chicago,20-24yrs,astronaut,18,14,4,4,3
21-Aug,Washington D.C.,25-29yrs,surgeon,20,16,4,7,3
21-Apr,Chicago,25-29yrs,surgeon,14,10,4,7,3
21-Apr,Chicago,25-29yrs,astronaut,12,8,4,7,3
20-Oct,Boston,25-29yrs,astronaut,20,16,4,5,3
20-Oct,Tokyo,25-29yrs,astronaut,10,6,4,5,3
20-Oct,Washington D.C.,25-29yrs,astronaut,15,11,4,4,3
21-Feb,London,30-34yrs,astronaut,15,11,4,7,3
20-Oct,Boston,35-39yrs,surgeon,11,7,4,9,3
21-Apr,Boston,20-24yrs,astronaut,20,16,10,5,4
20-Dec,Boston,25-29yrs,astronaut,20,16,6,4,4
21-May,Tokyo,25-29yrs,astronaut,18,14,4,4,4
21-Feb,Boston,20-24yrs,astronaut,17,13,10,2,4
21-Feb,Tokyo,20-24yrs,surgeon,15,11,4,3,4
21-Jul,Tokyo,30-34yrs,astronaut,12,8,9,6,4
21-Apr,Boston,25-29yrs,astronaut,11,7,5,4,4
21-Apr,Philadelphia,25-29yrs,surgeon,11,7,9,4,4
21-Sep,Tokyo,20-24yrs,astronaut,9,5,4,4,4
21-Jun,Tokyo,30-34yrs,surgeon,8,4,5,5,4
21-May,Boston,30-34yrs,surgeon,8,6,6,4,4
21-Aug,Philadelphia,20-24yrs,surgeon,7,6,3,4,4
21-Mar,Boston,20-24yrs,astronaut,7,1,5,5,4
21-Aug,Tokyo,30-34yrs,surgeon,7,5,2,4,4
21-Jan,Tokyo,30-34yrs,surgeon,6,6,3,2,4
20-Dec,Washington D.C.,20-24yrs,astronaut,5,6,5,3,4
21-Jul,Tokyo,25-29yrs,astronaut,5,7,4,7,4
20-Dec,New York,25-29yrs,astronaut,5,4,3,4,4
21-Apr,Boston,30-34yrs,astronaut,8,4,3,4,4
20-Dec,Boston,45-49yrs,surgeon,4,4,7,4,4
21-Mar,Philadelphia,15-19yrs,surgeon,18,8,7,8,4
21-Apr,Chicago,20-24yrs,surgeon,30,9,6,7,4
21-Apr,Philadelphia,20-24yrs,astronaut,31,10,5,8,4
20-Dec,Boston,20-24yrs,epidemiologist,42,11,7,7,4
20-Oct,Tokyo,20-24yrs,astronaut,28,12,5,8,4
21-Feb,London,25-29yrs,astronaut,18,13,4,7,4
20-Oct,Tokyo,25-29yrs,farmer,25,14,5,8,4
21-Aug,New York,30-34yrs,farmer,19,15,6,7,4
20-Nov,Tokyo,20-24yrs,astronaut,51,10,11,6,5
21-Mar,Tokyo,30-34yrs,surgeon,30,7,6,5,5
20-Oct,Chicago,20-24yrs,astronaut,29,2,13,5,5
